Category;Precipitação Acumulada;Pressão Atmosférica Reduzida;Temperatura Média;Umidade Relativa;Velocidade do Vento;Rajada do Vento
dia 8;0;1016.3;21.7;79.3;6.5;9.7
dia 8;0;1016.9;20.6;80.5;8.3;10.4
dia 8;0;1017.3;20.3;81.4;7.6;9.7
dia 8;0;1017.5;19.3;85.2;12.6;16.6
dia 9;0;1017.3;19.5;85.8;13.7;18.4
dia 9;0;1016.8;18.5;87.6;15.1;17.6
dia 9;0;1016.6;18.3;86.9;16.2;19.1
dia 9;0;1016.6;18;86.9;13.3;16.2
dia 9;0;1016.4;17.9;87.1;15.5;18
dia 9;0;1016.7;17.9;87.5;14.8;18.4
dia 9;0;1016.9;18.4;86.1;14;18.7
dia 9;0;1016.6;21.4;78.6;14;20.9
dia 9;0;1017.4;21.2;83;10.8;17.3
dia 9;0;1017.4;22.1;85.5;18.4;26.6
dia 9;0;1017.1;23.6;84.3;18;28.4
dia 9;0;1016.6;24.4;81.8;19.8;29.5
dia 9;0;1016;25.7;79.2;19.1;26.3
dia 9;0;1015.6;25.6;78.1;19.1;27.4
dia 9;0;1014.6;27;75.8;16.9;28.1
dia 9;0;1014.1;27.1;75.8;15.5;23.8
dia 9;0;1013.3;27.2;73.8;15.1;23.4
dia 9;0;1012.9;27.5;73.5;13;19.1
dia 9;0;1012.9;27.3;72;15.1;21.2
dia 9;0;1013.3;25.6;79;11.5;15.1
dia 9;0;1014.5;23.4;88.1;12.2;19.1
